date,product,outstanding_balance,utilization_rate,payment_rate,net_charge_offs,provision_expense,yield
2025-01-31,CareCredit,2500000000.00,0.65,0.88,15000000.00,18000000.00,0.142
2025-01-31,Synchrony_Store_Card,4200000000.00,0.72,0.85,28000000.00,32000000.00,0.168
2025-01-31,PayPal_Credit,1800000000.00,0.58,0.90,8500000.00,10500000.00,0.135
2025-02-28,CareCredit,2520000000.00,0.66,0.87,15500000.00,18500000.00,0.144
2025-02-28,Synchrony_Store_Card,4250000000.00,0.73,0.84,29000000.00,33000000.00,0.170
2025-02-28,PayPal_Credit,1820000000.00,0.59,0.89,8800000.00,10800000.00,0.137
2025-03-31,CareCredit,2540000000.00,0.64,0.89,14800000.00,17800000.00,0.141
2025-03-31,Synchrony_Store_Card,4300000000.00,0.71,0.86,27500000.00,31500000.00,0.166
2025-03-31,PayPal_Credit,1840000000.00,0.57,0.91,8200000.00,10200000.00,0.133
2025-04-30,CareCredit,2580000000.00,0.67,0.86,16200000.00,19200000.00,0.146
2025-04-30,Synchrony_Store_Card,4380000000.00,0.74,0.83,30500000.00,34500000.00,0.172
2025-04-30,PayPal_Credit,1870000000.00,0.60,0.88,9100000.00,11100000.00,0.139
2025-05-31,CareCredit,2600000000.00,0.65,0.88,15800000.00,18800000.00,0.143
2025-05-31,Synchrony_Store_Card,4420000000.00,0.72,0.85,29800000.00,33800000.00,0.169
2025-05-31,PayPal_Credit,1890000000.00,0.58,0.90,8900000.00,10900000.00,0.136
2025-06-30,CareCredit,2650000000.00,0.68,0.85,16800000.00,19800000.00,0.148
2025-06-30,Synchrony_Store_Card,4480000000.00,0.75,0.82,31200000.00,35200000.00,0.174
2025-06-30,PayPal_Credit,1920000000.00,0.61,0.87,9400000.00,11400000.00,0.141
2025-07-31,CareCredit,2680000000.00,0.66,0.87,16200000.00,19200000.00,0.145
2025-07-31,Synchrony_Store_Card,4520000000.00,0.73,0.84,30800000.00,34800000.00,0.171
2025-07-31,PayPal_Credit,1950000000.00,0.59,0.89,9200000.00,11200000.00,0.138