date,merchant,promo_type,spend_amount,transaction_count,avg_ticket,new_customers
2025-07-01,HomeDepot,0_APR_12_MONTH,2450000.50,1200,2041.67,85
2025-07-01,HomeDepot,STANDARD,890000.25,890,1000.00,45
2025-07-01,Amazon,0_APR_6_MONTH,3200000.75,2400,1333.33,120
2025-07-01,Amazon,STANDARD,1800000.00,1800,1000.00,90
2025-07-01,BestBuy,0_APR_18_MONTH,1850000.00,925,2000.00,78
2025-07-02,HomeDepot,0_APR_12_MONTH,2380000.00,1190,2000.00,82
2025-07-02,HomeDepot,STANDARD,920000.00,920,1000.00,48
2025-07-02,Amazon,0_APR_6_MONTH,3150000.00,2300,1369.57,118
2025-07-02,Amazon,STANDARD,1750000.00,1750,1000.00,88
2025-07-02,BestBuy,0_APR_18_MONTH,1900000.00,950,2000.00,80
2025-07-15,HomeDepot,0_APR_12_MONTH,2600000.00,1300,2000.00,95
2025-07-15,HomeDepot,STANDARD,950000.00,950,1000.00,52
2025-07-15,Amazon,0_APR_6_MONTH,3400000.00,2550,1333.33,135
2025-07-15,Amazon,STANDARD,1900000.00,1900,1000.00,95
2025-07-15,BestBuy,0_APR_18_MONTH,2100000.00,1050,2000.00,88
2025-07-30,HomeDepot,0_APR_12_MONTH,2800000.00,1400,2000.00,105
2025-07-30,HomeDepot,STANDARD,980000.00,980,1000.00,55
2025-07-30,Amazon,0_APR_6_MONTH,3600000.00,2700,1333.33,145
2025-07-30,Amazon,STANDARD,2000000.00,2000,1000.00,100
2025-07-30,BestBuy,0_APR_18_MONTH,2200000.00,1100,2000.00,92
2025-07-31,HomeDepot,0_APR_12_MONTH,2750000.00,1375,2000.00,102
2025-07-31,HomeDepot,STANDARD,975000.00,975,1000.00,54
2025-07-31,Amazon,0_APR_6_MONTH,3550000.00,2665,1332.08,142
2025-07-31,Amazon,STANDARD,1950000.00,1950,1000.00,98
2025-07-31,BestBuy,0_APR_18_MONTH,2150000.00,1075,2000.00,90
2025-08-01,HomeDepot,0_APR_12_MONTH,1200000.00,600,2000.00,45
2025-08-01,HomeDepot,STANDARD,880000.00,880,1000.00,42
2025-08-01,Amazon,0_APR_6_MONTH,1500000.00,1125,1333.33,68
2025-08-01,Amazon,STANDARD,1650000.00,1650,1000.00,85
2025-08-01,BestBuy,0_APR_18_MONTH,1850000.00,925,2000.00,78
2025-08-02,HomeDepot,0_APR_12_MONTH,1180000.00,590,2000.00,44
2025-08-02,HomeDepot,STANDARD,860000.00,860,1000.00,41
2025-08-02,Amazon,0_APR_6_MONTH,1480000.00,1110,1333.33,67
2025-08-02,Amazon,STANDARD,1620000.00,1620,1000.00,83
2025-08-02,BestBuy,0_APR_18_MONTH,1800000.00,900,2000.00,76
2025-08-05,HomeDepot,0_APR_12_MONTH,1150000.00,575,2000.00,43
2025-08-05,HomeDepot,STANDARD,840000.00,840,1000.00,40
2025-08-05,Amazon,0_APR_6_MONTH,1450000.00,1087,1333.95,65
2025-08-05,Amazon,STANDARD,1580000.00,1580,1000.00,81
2025-08-05,BestBuy,0_APR_18_MONTH,1750000.00,875,2000.00,74